county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Adams,0.0,17246.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen,0.0,67374.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashland,0.0,34837.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashtabula,0.0,61453.0,0.0,0.0,0.0,0.0,0.0,0.0
Athens,0.0,39344.0,0.0,0.0,0.0,0.0,0.0,0.0
Auglaize,0.0,32489.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmont,0.0,46315.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,29069.0,0.0,0.0,0.0,0.0,0.0,0.0
Butler,0.0,256908.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,18416.0,0.0,2346.0,7661.0,0.3062263412087195,5216.0,0.6808510638297872
Champaign,0.0,26492.0,0.0,3885.0,11740.0,0.3309199318568995,7688.0,0.654855195911414
Clark,0.0,89826.0,0.0,0.0,0.0,0.0,0.0,0.0
Clermont,0.0,145129.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,27616.0,0.0,0.0,0.0,0.0,0.0,0.0
Columbiana,0.0,66293.0,0.0,0.0,0.0,0.0,0.0,0.0
Coshocton,0.0,22730.0,0.0,3352.0,11091.0,0.302227030925976,7549.0,0.6806419619511316
Crawford,0.0,28211.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuyahoga,0.0,888556.0,0.0,229994.0,307496.0,0.7479576970106928,74922.0,0.2436519499440643
Darke,0.0,34669.0,0.0,0.0,0.0,0.0,0.0,0.0
Defiance,0.0,26411.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,151756.0,0.0,46562.0,86255.0,0.539817981566286,38585.0,0.44733638629644656
Erie,0.0,54129.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairfield,0.0,109176.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette,0.0,17180.0,0.0,2140.0,7126.0,0.3003087285994948,4916.0,0.6898680886893067
Franklin,0.0,882635.0,0.0,259927.0,340795.0,0.7627077862057835,77094.0,0.22621810766003023
Fulton,0.0,29496.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallia,0.0,18982.0,0.0,0.0,0.0,0.0,0.0,0.0
Geauga,0.0,67969.0,0.0,16468.0,33906.0,0.48569574706541613,17103.0,0.504423995752964
Greene,0.0,118938.0,0.0,0.0,0.0,0.0,0.0,0.0
Guernsey,0.0,24549.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,0.0,600386.0,0.0,0.0,0.0,0.0,0.0,0.0
Hancock,0.0,51714.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardin,0.0,18211.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison,0.0,10205.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry,0.0,19710.0,0.0,3088.0,8987.0,0.34360743295871815,5793.0,0.6445977523088906
Highland,0.0,27351.0,0.0,0.0,0.0,0.0,0.0,0.0
Hocking,0.0,18645.0,0.0,0.0,0.0,0.0,0.0,0.0
Holmes,0.0,18286.0,0.0,0.0,0.0,0.0,0.0,0.0
Huron,0.0,36886.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,0.0,21013.0,0.0,2663.0,10266.0,0.2593999610364309,7502.0,0.7307617377751802
Jefferson,0.0,48167.0,0.0,0.0,0.0,0.0,0.0,0.0
Knox,0.0,42320.0,0.0,6992.0,19719.0,0.3545818753486485,12496.0,0.6337035346620011
Lake,0.0,163936.0,0.0,42095.0,82258.0,0.5117435386223832,39311.0,0.47789880619514213
Lawrence,0.0,44119.0,0.0,0.0,0.0,0.0,0.0,0.0
Licking,0.0,124208.0,0.0,25396.0,59696.0,0.425422138836773,33462.0,0.5605400696864111
Logan,0.0,32218.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorain,0.0,218501.0,0.0,53994.0,91584.0,0.5895571278825996,36659.0,0.4002773410202656
Lucas,0.0,299794.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,0.0,25827.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahoning,0.0,165259.0,0.0,42042.0,67800.0,0.6200884955752213,25133.0,0.37069321533923305
Marion,0.0,40262.0,0.0,0.0,0.0,0.0,0.0,0.0
Medina,0.0,130169.0,0.0,0.0,0.0,0.0,0.0,0.0
Meigs,0.0,15414.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,29398.0,0.0,0.0,0.0,0.0,0.0,0.0
